"key","car_title","context_identifier","execution_id","feed_code","fuel_type","gear_box","mileage","price_blurb","record_create_by","record_create_date","site","source_country","variant"
"","2013 Renault Duster","Used car in india","620115","carID123","Diesel","Manual","1,19,285","3,36,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","85PS Diesel RxL Optional"
"","2021 MG Hector Plus","Used car in india","620115","carID123","Petrol","Automatic","19,673","19,18,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","Sharp CVT"
"","2016 Hyundai Creta","Used car in india","620115","carID123","Diesel","Manual","65,420","9,38,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","1.4 CRDi S"
"","2017 Tata Hexa","Used car in india","620115","carID123","Diesel","Manual","65,047","10,23,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","XT 4X4"
"","2019 Mahindra XUV500","Used car in india","620115","carID123","Diesel","Manual","62,512","12,53,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","W11 BSIV"
"","2019 Tata Harrier","Used car in india","620115","carID123","Diesel","Manual","19,754","14,90,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","XZ BSIV"
"","2019 Hyundai Creta","Used car in india","620115","carID123","Petrol","Manual","56,513","12,38,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","1.6 SX"
"","2018 Mahindra Marazzo","Used car in india","620115","carID123","Diesel","Manual","22,681","10,20,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","M8"
"","2021 Renault Triber","Used car in india","620115","carID123","Petrol","Automatic","10,024","7,35,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","RXT EASY-R AMT"
"","2020 Toyota Innova Crysta","Used car in india","620115","carID123","Diesel","Automatic","76,317","19,42,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","2.4 GX 7 STR AT"
"","2018 Mahindra Marazzo","Used car in india","620115","carID123","Diesel","Manual","21,211","9,89,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","M6"
"","2018 Tata Hexa","Used car in india","620115","carID123","Diesel","Manual","32,378","10,28,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","XM"
"","2019 Renault Triber","Used car in india","620115","carID123","Petrol","Manual","9,833","7,13,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","RXZ BSIV"
"","2019 Renault Triber","Used car in india","620115","carID123","Petrol","Manual","16,395","6,52,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","RXZ BSIV"
"","2020 Renault Triber","Used car in india","620115","carID123","Petrol","Automatic","28,628","7,38,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","RXZ EASY-R AMT"
"","2016 Toyota Innova Crysta","Used car in india","620115","carID123","Diesel","Manual","1,08,414","12,35,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","2.4 G MT 8S BSIV"
"","2015 Renault Lodgy","Used car in india","620115","carID123","Diesel","Manual","37,638","6,06,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","110PS RxZ 8 Seater"
"","2016 Maruti Eeco","Used car in india","620115","carID123","CNG","Manual","70,000","3,80,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","CNG 5 Seater AC BSIV"
"","2020 Maruti Eeco","Used car in india","620115","carID123","Petrol","Manual","50,000","4,20,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","5 Seater AC"
"","1999 Maruti Omni","Used car in india","620115","carID123","Petrol","Manual","90,000","1,00,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","BSIII 8-STR W/ IMMOBILISER"
"","2021 Maruti Eeco","Used car in india","620115","carID123","Petrol","Manual","40,000","3,50,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","5 Seater AC"
"","2018 Maruti Omni","Used car in india","620115","carID123","Petrol","Manual","35,000","2,40,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","E MPI STD BSIV"
"","2018 Maruti Eeco","Used car in india","620115","carID123","Petrol","Manual","90,000","3,70,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","5 Seater AC BSIV"
"","2020 Maruti Eeco","Used car in india","620115","carID123","Petrol","Manual","20,000","4,09,990","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","7 Seater STD"
"","2021 Maruti Eeco","Used car in india","620115","carID123","Petrol","Manual","10,000","4,70,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","5 Seater AC"
"","2009 Maruti Omni","Used car in india","620115","carID123","Petrol","Manual","80,000","1,99,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","5 Seater"
"","2013 Maruti Eeco","Used car in india","620115","carID123","Petrol","Manual","1,20,000","1,90,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","7 Seater Standard BSIV"
"","2012 BMW 3 Series","Used car in india","620115","carID123","Diesel","Automatic","66,524","12,25,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","320d"
"","2016 Volvo XC 90","Used car in india","620115","carID123","Diesel","Automatic","1,33,000","42,50,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","D5 Inscription BSIV"
"","2016 Volvo XC 90","Used car in india","620115","carID123","Diesel","Automatic","1,00,000","43,50,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","D5 Inscription BSIV"
"","2010 BMW 3 Series","Used car in india","620115","carID123","Diesel","Automatic","1,20,000","5,00,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","320d"
"","2015 Volvo XC 90","Used car in india","620115","carID123","Diesel","Automatic","64,000","46,75,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","D5 Inscription BSIV"
"","2012 Volvo S60","Used car in india","620115","carID123","Diesel","Automatic","1,07,000","9,99,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","D3"
"","2009 BMW 3 Series","Used car in india","620115","carID123","Diesel","Automatic","70,582","6,25,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","320d"
"","2012 Volvo S60","Used car in india","620115","carID123","Diesel","Automatic","85,000","9,65,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","D3"
"","2012 Audi A8","Used car in india","620115","carID123","Diesel","Automatic","68,000","23,75,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","L 3.0 TDI quattro"
"","2016 Volvo XC 90","Used car in india","620115","carID123","Diesel","Automatic","68,000","49,50,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","D5 Inscription BSIV"
"","2014 BMW Z4","Used car in india","620115","carID123","Petrol","Automatic","27,000","39,50,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","35i"
"","2015 Audi A3 cabriolet","Used car in india","620115","carID123","Petrol","Automatic","44,765","31,99,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","40 TFSI Premium Plus"
"","2014 BMW Z4","Used car in india","620115","carID123","Petrol","Automatic","17,000","42,00,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","35i DPT"
"","2018 Mercedes-Benz C-Class","Used car in india","620115","carID123","Petrol","Automatic","8,838","60,99,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","C300 Cabriolet"
"","2015 Audi A3 cabriolet","Used car in india","620115","carID123","Petrol","Automatic","44,764","34,49,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","40 TFSI Premium Plus"
"","2018 Mercedes-Benz C-Class","Used car in india","620115","carID123","Petrol","Automatic","8,837","60,99,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","C300 Cabriolet"
"","2014 Audi R8","Used car in india","620115","carID123","Petrol","Automatic","21,000","98,00,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","Spyder"
"","2020 Mini Cooper Convertible","Used car in india","620115","carID123","Petrol","Automatic","22,000","49,75,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","S"
"","2017 Audi A3 cabriolet","Used car in india","620115","carID123","Petrol","Automatic","20,000","48,00,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","40 TFSI Premium Plus"
"","2016 Audi A3 cabriolet","Used car in india","620115","carID123","Petrol","Automatic","27,973","31,99,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","1.4 TFSI"
"","2020 Mahindra Bolero Pik Up Extra Long","Used car in india","620115","carID123","Diesel","Manual","50,000","7,95,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","FB 1.7T"
"","2019 Mahindra Bolero Pik Up Extra Long","Used car in india","620115","carID123","Diesel","Manual","60,000","8,50,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","FB 1.7T"
"","2020 Mahindra BOLERO PIK UP Extra Strong","Used car in india","620115","carID123","Diesel","Manual","60,000","7,50,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","FB 1.3T MS"
"","2019 Mahindra Bolero Pik Up Extra Long","Used car in india","620115","carID123","Diesel","Manual","1,20,000","8,50,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","CBC 1.7T"
"","2021 Tata Yodha Pickup","Used car in india","620115","carID123","Diesel","Manual","10,000","8,50,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","4x4"
"","2021 Mahindra Bolero Camper","Used car in india","620115","carID123","Diesel","Manual","20,000","8,75,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","2WD Power Steering"
"","2014 Tata Xenon XT","Used car in india","620115","carID123","Diesel","Manual","75,000","5,45,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","EX 4X2"
"","2022 Mahindra BOLERO PIK UP Extra Strong","Used car in india","620115","carID123","Diesel","Manual","10,000","5,59,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","4WD MS"
"","2020 Tata Yodha Pickup","Used car in india","620115","carID123","Diesel","Manual","70,000","5,50,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","Eco"
"","2019 Isuzu D-Max","Used car in india","620115","carID123","Diesel","Manual","1,20,000","15,00,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","High"
"","2022 Ferrari SF90 Stradale","Used car in india","620115","carID123","Petrol","Automatic","50,000","4,44,25,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","Coupe V8"
"","2021 Mercedes-Benz GLC Coupe","Used car in india","620115","carID123","Diesel","Automatic","10,000","77,00,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","300d 4MATIC"
"","2011 Audi RS5","Used car in india","620115","carID123","Petrol","Automatic","55,000","35,00,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","Coupe"
"","2019 Mercedes-Benz C-Class","Used car in india","620115","carID123","Petrol","Automatic","21,100","65,00,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","Coupe C43 AMG"
"","2021 Porsche Cayenne Coupe","Used car in india","620115","carID123","Petrol","Automatic","6,000","1,67,00,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","Platinum Edition"
"","2013 BMW 6 Series","Used car in india","620115","carID123","Diesel","Automatic","51,000","31,50,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","640d Gran Coupe"
"","2012 Audi R8","Used car in india","620115","carID123","Petrol","Manual","16,000","68,99,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","4.2 FSI Quattro"
"","2012 Audi R8","Used car in india","620115","carID123","Petrol","Automatic","16,003","74,95,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","4.2 FSI Quattro R Tronic"
"","2014 BMW 6 Series","Used car in india","620115","carID123","Diesel","Automatic","93,000","24,50,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","640d Gran Coupe"
"","2017 Porsche Cayman","Used car in india","620115","carID123","Petrol","Manual","30,000","83,00,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","3.0L"
"","2019 Maruti Wagon R","Used car in india","620115","carID123","Petrol","Automatic","32,000","5,75,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","ZXI AMT 1.2BSIV"
"","1998 Tata Estate","Used car in india","620115","carID123","Diesel","Manual","1,50,000","1,40,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","Std"
"","2019 Maruti Wagon R","Used car in india","620115","carID123","Petrol","Automatic","46,800","5,90,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","ZXI AMT 1.2BSIV"
"","2006 Skoda Octavia","Used car in india","620115","carID123","Diesel","Manual","1,50,000","2,80,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","L and K 1.9 TDI (MT)"
"","2019 Maruti Wagon R","Used car in india","620115","carID123","Petrol","Manual","39,000","5,65,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","ZXI 1.2BSIV"
"","2020 Volvo V90 Cross Country","Used car in india","620115","carID123","Diesel","Automatic","41,220","45,90,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","D5 Inscription"
"","2019 Maruti Wagon R","Used car in india","620115","carID123","Petrol","Automatic","43,200","6,19,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","ZXI AMT 1.2BSIV"
"","2009 Skoda Octavia","Used car in india","620115","carID123","Diesel","Manual","85,000","2,60,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","L and K 1.9 TDI (MT)"
"","2006 Skoda Octavia","Used car in india","620115","carID123","Petrol","Manual","77,633","2,25,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","1.8 Turbo Petrol RS MT"
"","2019 Mercedes-Benz E-Class All-Terrain","Used car in india","620115","carID123","Diesel","Automatic","20,501","54,00,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","E 220 d"
"","2017 Volvo XC 90","Used car in india","620115","carID123","Petrol","Automatic","27,355","77,00,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","T8 Excellence BSIV"
"","2007 Honda Civic","Used car in india","620115","carID123","Petrol","Automatic","95,000","2,75,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","Hybrid"
"","2008 Honda Civic","Used car in india","620115","carID123","Petrol","Automatic","85,000","1,50,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","Hybrid"
"","2021 Maruti Eeco Cargo","Used car in india","620115","carID123","CNG","Manual","5,000","5,00,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","STD CNG"
"","2016 Maruti Celerio","Used car in india","620115","carID123","Petrol","Automatic","23,488","4,40,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","VXI AT"
"","2014 Hyundai Verna","Used car in india","620115","carID123","Petrol","Automatic","66,332","4,91,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","1.6 SX VTVT (O) AT"
"","2018 Maruti Alto 800","Used car in india","620115","carID123","Petrol","Manual","16,012","3,33,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","VXI"
"","2013 Honda Brio","Used car in india","620115","carID123","Petrol","Manual","49,518","3,15,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","S MT"
"","2013 Renault Duster","Used car in india","620115","carID123","Diesel","Manual","1,19,285","3,36,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","85PS Diesel RxL Optional"
"","2020 Maruti Alto 800","Used car in india","620115","carID123","Petrol","Manual","13,287","3,61,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","LXI"
"","2017 Maruti Wagon R","Used car in india","620115","carID123","Petrol","Manual","1,01,864","4,11,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","VXI BS IV"
"","2015 Maruti Swift","Used car in india","620115","carID123","Petrol","Manual","85,763","4,78,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","VXI"
"","2020 Maruti Alto 800","Used car in india","620115","carID123","Petrol","Manual","5,861","3,65,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","LXI"
"","2015 Honda Amaze","Used car in india","620115","carID123","Petrol","Automatic","81,558","4,95,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","VX AT i-Vtech"
"","2016 Hyundai Verna","Used car in india","620115","carID123","Diesel","Manual","64,419","7,94,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","1.6 CRDi SX"
"","2015 Maruti Ciaz","Used car in india","620115","carID123","Diesel","Manual","78,589","6,05,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","ZDi Plus SHVS"
"","2017 Hyundai i20","Used car in india","620115","carID123","Petrol","Manual","51,164","6,00,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","1.2 Asta Option"
"","2016 Hyundai Verna","Used car in india","620115","carID123","Diesel","Manual","87,115","5,83,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","1.6 CRDi SX"
"","2017 Maruti Baleno","Used car in india","620115","carID123","Diesel","Manual","55,029","6,30,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","1.3 Delta"
"","2018 Maruti Vitara Brezza","Used car in india","620115","carID123","Diesel","Manual","90,416","7,45,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","ZDi"
"","2020 Maruti Swift Dzire","Used car in india","620115","carID123","Petrol","Manual","33,626","6,71,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","VXI 1.2"
"","2018 Hyundai Creta","Used car in india","620115","carID123","Petrol","Manual","11,942","9,58,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","1.6 E Plus"
"","2015 Honda City","Used car in india","620115","carID123","Petrol","Automatic","1,00,008","6,55,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","i VTEC CVT VX"
"","2016 Honda Jazz","Used car in india","620115","carID123","Petrol","Automatic","51,432","6,83,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","1.2 S AT i VTEC"
"","2018 Mahindra Marazzo","Used car in india","620115","carID123","Diesel","Manual","22,681","10,20,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","M8"
"","2018 Toyota Corolla Altis","Used car in india","620115","carID123","Petrol","Automatic","54,423","12,50,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","1.8 VL CVT"
"","2018 Mahindra XUV500","Used car in india","620115","carID123","Diesel","Automatic","55,040","13,10,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","W11 AT BSIV"
"","2017 Tata Hexa","Used car in india","620115","carID123","Diesel","Manual","65,047","10,23,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","XT 4X4"
"","2019 Mahindra XUV500","Used car in india","620115","carID123","Diesel","Manual","62,512","12,53,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","W11 BSIV"
"","2019 Tata Harrier","Used car in india","620115","carID123","Diesel","Manual","19,754","14,90,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","XZ BSIV"
"","2019 Hyundai Creta","Used car in india","620115","carID123","Petrol","Manual","56,513","12,38,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","1.6 SX"
"","2018 Honda City","Used car in india","620115","carID123","Petrol","Automatic","49,539","10,53,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","i-VTEC CVT ZX"
"","2016 Skoda Octavia","Used car in india","620115","carID123","Petrol","Automatic","92,376","13,00,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","Style Plus 1.8 TSI AT"
"","2016 Skoda Octavia","Used car in india","620115","carID123","Petrol","Automatic","87,642","12,83,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","1.8 TSI AT Style"
"","2021 MG Hector Plus","Used car in india","620115","carID123","Petrol","Automatic","19,673","19,18,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","Sharp CVT"
"","2020 Toyota Innova Crysta","Used car in india","620115","carID123","Diesel","Automatic","76,317","19,42,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","2.4 GX 7 STR AT"
"","2019 Tata Harrier","Used car in india","620115","carID123","Diesel","Manual","37,847","15,43,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","XZ Dark Edition BSIV"
"","2020 MG Hector","Used car in india","620115","carID123","Diesel","Manual","16,856","17,79,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","Sharp Diesel MT"
